predicate,isInUMLS,weight
has been shown that,0,124.7023
in women at,0,124.3726
omega-3 fatty acids,1,124.3726
engage,0,123.9136
expressing,0,123.8642
retrospectively analyzed,0,123.8554
has been linked with,0,123.6664
connected,0,123.3774
of change in,0,123.3034
constitutes,0,123.0278
indication for,1,122.5834
showed significantly,0,122.5834
aid,1,122.4348
held,1,122.4348
minimize,0,122.4348
weight,1,122.4348
fecal occult blood,1,122.3593
for death from,0,122.3593
is a potent,0,122.3593
is regulated by,0,122.3593
obese endometrial cancer,0,122.0449
add,1,121.9781
adding,0,121.9235
attenuates,0,121.9235
entered,1,121.5306
mailed,1,121.5306
reflects,1,121.5306
blotting,0,121.4355
can be explained,0,121.427
in regulation of,0,121.427
is a novel,0,121.427
large prospective cohort,0,121.427
polycystic ovarian syndrome,1,121.427
was examined by,0,121.427
were derived from,0,121.427
were detected in,0,121.427
were observed among,0,121.427
were used in,0,121.427
will also be,0,121.427
learning,1,121.1992
increasingly recognized,0,121.1041
put,1,121.092
reflected,1,121.092
pre-existing,1,120.9583
obese adipose tissue,0,120.7957
assisted,1,120.6586
completed a questionnaire,0,120.538
could be attributed,0,120.538
has been established,0,120.538
in part by,0,120.538
investigated the relationship,0,120.538
is a rare,0,120.538
is an urgent,0,120.538
is known that,0,120.538
of mortality from,0,120.538
was inversely related,0,120.538
were abstracted from,0,120.538
were calculated by,0,120.538
incorporated,0,120.4913
responded,0,120.4913
work,1,120.4913
fully elucidated,0,120.4036
's,0,120.0341
advancing,0,120.0341
of metformin on,0,119.7619
acts,0,119.5864
allowing,1,119.1477
human adipose tissue,0,118.7193
with patients with,0,118.7193
confers,0,118.5391
means,1,118.5391
represented,0,118.5391
overweight,1,118.1449
have been identified in,0,118.139
is independently associated with,0,118.139
lead to the development,0,118.139
exploring,0,118.0814
optimize,0,118.0814
excess adipose tissue,0,117.7331
for age at,0,117.7331
is a worldwide,0,117.7331
examined for,1,117.629
scoring,1,117.3458
residing,0,117.3204
self-administered,1,117.1946
consume,0,117.0466
continuing,1,117.0466
encouraged,0,117.0466
monitor,1,117.0466
termed,0,117.0466
extracellular signal-regulated kinase,0,116.7975
might be associated,0,116.7975
of inflammation in,0,116.7975
was not found,0,116.7975
were examined by,0,116.7975
with emphasis on,0,116.7975
assist,1,116.5781
covered,1,116.5781
display,1,116.5781
introduced,0,116.5781
mammary epithelial cells,0,116.2333
prescribed,1,116.1785
expand,1,116.1199
explaining,0,116.1199
verified,1,116.0495
spent,0,115.9548
survived,0,115.9297
in risk for,0,115.9076
is correlated with,0,115.9076
may be used,0,115.9076
several epidemiological studies,0,115.9076
was assessed with,0,115.9076
was collected from,0,115.9076
were independent of,0,115.9076
were performed in,0,115.9076
were selected from,0,115.9076
confirms,1,115.6716
extend,1,115.6716
racial ethnic differences,1,115.5402
poorly differentiated,1,115.5159
after diagnosis of,0,115.1121
detecting,0,115.0984
decreased by,1,114.8583
laparoscopic distal gastrectomy,0,114.438
implementing,0,114.1494
of energy from,0,114.1042
mean operative time,0,114.059
deficiency of,1,113.7247
describing,0,113.7008
protected,0,113.7008
cultured,0,113.6529
combat,0,113.5804
prospectively examined,0,113.428
confined,0,113.099
whilst,0,113.099
among individuals with,0,113.066
is modified by,0,113.066
of disease in,0,113.066
with measures of,0,113.066
composed,0,112.6289
conducted a systematic review,0,112.5556
has been recognized as,0,112.5556
is often associated with,0,112.5556
incorporating,0,112.1696
persist,0,112.1696
could be considered,0,112.1268
may be influenced,0,112.1268
significant positive association,0,112.1268
was positively correlated,0,112.1268
was used in,0,112.1268
were seen in,0,112.1268
were similar between,0,112.1268
with bmi of,0,112.1268
delay,1,112.0886
generalized,1,111.7207
carrying,1,111.5938
high fat diets,1,111.5602
significantly predicted,0,111.3349
aim,1,111.2816
so,1,111.2816
can contribute to,0,111.2357
has resulted in,0,111.2357
is a retrospective,0,111.2357
is a safe,0,111.2357
is considered as,0,111.2357
represents a major,0,111.2357
should also be,0,111.2357
was conducted on,0,111.2357
were present in,0,111.2357
feeding,1,110.6403
built,0,110.6037
disrupting,1,110.6037
eat,1,110.6037
traditional chinese medicine,1,110.4216
serves,0,110.1805
compromised,0,110.0941
differing,0,110.0941
unfolded,0,110.0201
date,1,109.7312
diminished,1,109.7312
interacting,0,109.7312
interfere,1,109.7312
stimulating,1,109.7312
electronic medical records,1,109.3565
major chronic diseases,0,109.3565
of cases of,0,109.3565
adjust,0,109.292
delivered,1,109.114
accumulated,0,108.6421
carry,1,108.6421
can also be,0,108.356
hepatic stellate cells,1,108.356
on quality of,0,108.356
with women in,0,108.356
african american men,0,108.2545
exacerbated,1,108.1816
played,1,108.1816
competing,0,108.0254
has been reported in,0,107.9541
estimated from,1,107.7852
grow,0,107.732
found no association,0,107.4127
many human diseases,0,107.4127
remained significant after,0,107.4127
was a trend,0,107.4127
was conducted of,0,107.4127
was greater in,0,107.4127
was performed for,0,107.4127
were similar among,0,107.4127
encountered,0,107.2927
implicate,0,107.2927
analyse,0,107.1069
strongly correlated,0,107.0528
strongly related,0,107.0528
is not known whether,0,106.9128
characterised,0,106.6341
in patients without,0,106.5204
last few years,0,106.5204
may also play,0,106.5204
may be beneficial,0,106.5204
poor prognostic factor,0,106.5204
potential therapeutic targets,0,106.5204
was confirmed by,0,106.5204
was performed by,0,106.5204
was similar in,0,106.5204
were assessed at,0,106.5204
with alterations in,0,106.5204
continued,1,106.173
screen,1,106.173
secrete,1,106.173
trigger,1,106.173
accelerates,1,106.0761
ages,0,105.723
converted,0,105.723
of bc in,0,105.6886
delayed,1,105.5763
reaching,1,105.2835
never smoked,1,104.9078
n-3 fatty acids,1,104.7854
bind,1,104.6161
monounsaturated fatty acids,1,104.6099
vigorous physical activity,0,104.6099
drinking,1,104.1921
abstracted,1,103.7038
after surgery for,0,103.6009
among subjects with,0,103.6009
polyunsaturated fatty acid,1,103.6009
colonic premalignant lesions,0,103.5784
tailored,1,103.5504
opposed,0,103.2643
producing,0,103.2643
survive,1,103.0626
question of,1,102.7707
recently published,0,102.7707
dysfunctional adipose tissue,0,102.6531
found no evidence,0,102.6531
has been related,0,102.6531
is overexpressed in,0,102.6531
may be effective,0,102.6531
of diet on,0,102.6531
was dependent on,0,102.6531
was modified by,0,102.6531
will need to,0,102.6531
abolished,0,102.5877
exercise,1,102.5877
implement,0,102.5877
suffered,1,102.5877
have been made in,0,102.2506
bleeding,1,102.1615
accelerate,1,102.1252
attempted,0,102.1252
endometrioid endometrial cancer,0,102.0932
fatty acid synthesis,1,102.0932
and also for,0,101.7594
as weight in,0,101.7594
but also with,0,101.7594
examined the effect,0,101.7594
has been proven,0,101.7594
in line with,0,101.7594
in parallel with,0,101.7594
is a central,0,101.7594
is a global,0,101.7594
is a well-established,0,101.7594
is elevated in,0,101.7594
is recognized as,0,101.7594
may be considered,0,101.7594
multivariate linear regression,0,101.7594
of diet in,0,101.7594
of individuals with,0,101.7594
past few decades,0,101.7594
was analyzed by,0,101.7594
was identified in,0,101.7594
was significantly correlated,0,101.7594
were retrospectively reviewed,0,101.7594
were reviewed for,0,101.7594
were seen for,0,101.7594
were selected for,0,101.7594
will be reviewed,0,101.7594
served,0,101.6744
invited,0,101.5873
submitted,1,101.5142
surgically treated,0,101.3751
previously diagnosed,0,101.324
promising,0,101.2347
risen,0,101.2347
share,1,101.2347
is closely associated with,0,101.207
were found to be associated with,0,101.1571
graded,0,101.0248
recognize,0,101.0248
of comorbidities in,0,100.9113
corrected,1,100.4942
chewing,1,100.3375
conduct,1,100.0856
evolved,1,100.0856
marked,1,100.0856
acute myeloid leukemia,1,99.817
per cent of,0,99.817
impacts,0,99.6343
once,1,99.6343
relates,1,99.6343
ionizing,0,99.542
paired,1,99.4673
addresses,1,99.1945
creating,0,99.1945
explores,0,99.1945
viewed,0,99.1945
recently reported,0,99.1624
adapted,1,98.9763
build,1,98.9763
after stratification by,0,98.7983
in persons with,0,98.7983
was classified as,0,98.7983
laparoscopy-assisted distal gastrectomy,0,98.6215
evidenced,0,98.4992
recognised,0,98.4992
smoking,1,98.4992
can be reduced,0,97.8453
of risk for,0,97.8453
plays a pivotal,0,97.8453
related metabolic disorders,0,97.8453
summary relative risks,0,97.8453
that women with,0,97.8453
was assessed at,0,97.8453
was estimated by,0,97.8453
was reduced by,0,97.8453
was reduced in,0,97.8453
were assessed for,0,97.8453
carries,1,97.5834
rise,1,97.5834
coordinated,1,97.4095
of insulin on,0,97.297
overweight obese individuals,0,97.297
uncoupling,0,97.2616
brought,1,97.1435
complete,1,97.1435
murine pancreatic cancer,0,97.1048
increased significantly,0,96.9674
after accounting for,0,96.9501
but also for,0,96.9501
by differences in,0,96.9501
can be associated,0,96.9501
for evaluation of,0,96.9501
for research on,0,96.9501
from patients with,0,96.9501
is a promising,0,96.9501
is activated by,0,96.9501
is concluded that,0,96.9501
is expressed in,0,96.9501
is needed for,0,96.9501
is the fifth,0,96.9501
may be explained,0,96.9501
may be mediated,0,96.9501
not only for,0,96.9501
of choice for,0,96.9501
of treatment for,0,96.9501
polytomous logistic regression,0,96.9501
than women with,0,96.9501
that changes in,0,96.9501
was also found,0,96.9501
was calculated by,0,96.9501
were noted in,0,96.9501
were obtained by,0,96.9501
were performed on,0,96.9501
were significantly increased,0,96.9501
deregulated,1,96.9169
were not significantly associated,0,96.4801
analyzing,0,96.4385
transforming,1,96.4385
indication of,1,96.2286
tested for,1,96.2286
chronic medical conditions,0,96.0877
fixed,1,95.9736
triggered,0,95.9736
complicated by,1,95.5241
well defined,1,95.5241
surveyed,0,95.5214
has been hypothesized that,0,95.4339
has increased dramatically in,0,95.4339
have been found in,0,95.4339
have been proposed as,0,95.4339
performed a systematic review,0,95.4339
prescribing,1,95.2068
clarified,1,95.0813
atypical glandular hyperplasia,1,94.7227
attenuate,1,94.3664
stem,1,94.3664
contact with,1,94.0828
low fat diet,1,93.9454
experiencing,0,93.9006
stress,1,93.9006
radical retropubic prostatectomy,1,93.8304
rationing,0,93.7248
impair,0,93.448
applying,0,93.0077
chosen,1,93.0077
expanding,1,93.0077
imply,0,93.0077
shed,0,93.0077
warrant,0,93.0077
but only in,0,92.9866
is a useful,0,92.9866
is determined by,0,92.9866
might be useful,0,92.9866
should be aware,0,92.9866
were strongly associated,0,92.9866
reprogramming,0,92.7696
seeking,0,92.7696
begin,1,92.7638
saturated,1,92.7638
uses,1,92.7638
differed significantly,0,92.5598
walking,1,92.5046
with bmis of,0,92.4577
links,0,92.2827
by changes in,0,92.0897
can be prevented,0,92.0897
chronic inflammatory state,0,92.0897
common gynecologic malignancy,0,92.0897
for associations between,0,92.0897
has focused on,0,92.0897
is a high,0,92.0897
is a new,0,92.0897
is known as,0,92.0897
is supported by,0,92.0897
is the primary,0,92.0897
large prospective study,0,92.0897
may also increase,0,92.0897
may need to,0,92.0897
may provide new,0,92.0897
of interest in,0,92.0897
of obesity at,0,92.0897
plays a major,0,92.0897
represents an important,0,92.0897
summarizes the current,0,92.0897
was calculated from,0,92.0897
was categorized as,0,92.0897
was detected by,0,92.0897
was found with,0,92.0897
was less than,0,92.0897
well as on,0,92.0897
were determined in,0,92.0897
were higher than,0,92.0897
were investigated in,0,92.0897
were isolated from,0,92.0897
were used as,0,92.0897
closely linked,0,91.8546
highly expressed,0,91.8546
markedly increased,0,91.8546
slightly increased,0,91.8546
triggered by,1,91.8546
assumed,1,91.816
infiltrating,1,91.816
introduce,1,91.816
aiming,0,91.3628
complicated,1,91.3628
finding,1,91.3628
gathered,0,91.3628
named,1,91.3628
predisposes,0,91.3628
oxidized,0,91.0702
apply,1,90.9223
unlike,0,90.9223
obtaining,0,90.6696
supplemented,0,90.6696
had a lower risk,0,90.638
was not significantly related,0,90.638
engaged,1,90.119
chronic renal failure,1,90.0823
modified radical mastectomy,1,90.0823
persistent organic pollutants,0,90.0823
sitting,1,90.0808
abrogated,0,89.7193
localized,1,89.7193
restore,0,89.7193
has been made in,0,89.5887
has been suggested as,0,89.5887
was a significant difference,0,89.5887
was also significantly associated,0,89.5887
lean,1,89.582
genetically determined,0,89.3786
assayed,0,89.2655
challenging,0,89.2655
emphasized,0,89.2655
expanded,1,89.2655
stored,0,89.2655
testing,1,89.2655
weighed,0,89.2655
coding,1,89.0639
acute myocardial infarction,1,89.0394
after treatment with,0,89.0394
for adenocarcinoma of,0,89.0394
in studies of,0,89.0394
were significantly correlated,0,89.0394
with survival in,0,89.0394
worse overall survival,0,89.0394
serous ovarian cancer,0,89.0073
designing,0,88.8249
establishing,1,88.8249
evaluates,0,88.8249
facilitates,0,88.8249
standardised,0,88.5714
incompletely understood,0,88.1522
forming,1,88.0791
matching,1,88.0791
had more than,0,88.0739
had not been,0,88.0739
may also contribute,0,88.0739
may be caused,0,88.0739
numerous epidemiological studies,0,88.0739
of cancer with,0,88.0739
of people with,0,88.0739
of subjects with,0,88.0739
significant positive correlation,0,88.0739
was calculated as,0,88.0739
was higher for,0,88.0739
was significantly reduced,0,88.0739
were considered as,0,88.0739
were injected with,0,88.0739
with cancer in,0,88.0739
was found to be associated with,0,87.8051
were not significantly different between,0,87.6332
estimates,1,87.6103
scanning,1,87.4685
among men in,0,87.175
can be applied,0,87.175
in treatment of,0,87.175
is a multifactorial,0,87.175
is affected by,0,87.175
is an essential,0,87.175
is observed in,0,87.175
is recommended for,0,87.175
last few decades,0,87.175
of adults in,0,87.175
of age in,0,87.175
of associations between,0,87.175
of exercise on,0,87.175
on data from,0,87.175
plays a central,0,87.175
plays a significant,0,87.175
was identified as,0,87.175
was performed with,0,87.175
was seen for,0,87.175
were also found,0,87.175
were at a,0,87.175
were collected on,0,87.175
entitled,0,87.1559
pose,0,87.1559
rose,1,87.1559
processed,1,86.9472
attracted,0,86.7151
elucidating,0,86.7151
emphasizes,0,86.7151
prepared,0,86.7151
near,1,86.4443
after adjustments for,0,86.2938
chronic degenerative diseases,0,86.2938
complex atypical hyperplasia,0,86.2938
in adults with,0,86.2938
upper gastrointestinal tract,1,86.2938
ascertain,0,85.9585
existed,0,85.9585
harvested,0,85.9585
initiating,0,85.9585
decreased significantly,0,85.8701
highly correlated,0,85.8701
fermented,0,85.5508
collect,0,85.4885
impacted,1,85.4885
impairs,0,85.4885
mutated,1,85.4885
in women without,0,85.1349
of deaths from,0,85.1349
prostatic intraepithelial neoplasia,1,85.1349
commonly diagnosed,0,85.1226
sexually transmitted,0,85.1226
use for,1,85.1226
eliminate,0,85.0335
evolving,1,85.0335
extended,1,85.0335
inflamed,1,84.8179
was a significant risk,0,84.7187
debated,0,84.5925
design,1,84.5925
doubled,1,84.5925
integrating,0,84.5925
interfering,1,84.5925
causally related,0,84.4155
used by,1,84.4155
of autophagy in,0,84.1575
for individuals with,0,84.0768
had no history,0,84.0768
in populations with,0,84.0768
in quality of,0,84.0768
of chemotherapy in,0,84.0768
searching,0,83.8248
conducted a population-based case-control,0,83.6658
has been implicated as,0,83.6658
has been shown in,0,83.6658
is also involved in,0,83.6658
is closely related to,0,83.6658
advanced colorectal neoplasia,0,83.5167
attended,1,83.3537
counteract,0,83.3537
gaining,0,83.3537
uncovered,1,83.3537
diagnosing,1,83.2035
periprosthetic joint infection,0,83.1796
at diagnosis in,0,83.1034
binary logistic regression,0,83.1034
is an effective,0,83.1034
low socioeconomic status,1,83.1034
may be attributed,0,83.1034
of adipocytes in,0,83.1034
of bmi in,0,83.1034
of cr on,0,83.1034
of death for,0,83.1034
of quality of,0,83.1034
was analyzed for,0,83.1034
was elevated in,0,83.1034
was significantly related,0,83.1034
were characterized by,0,83.1034
will help to,0,83.1034
adopted,1,82.898
diagnose,1,82.898
document,1,82.898
incorporate,0,82.898
missing,1,82.898
modeled,0,82.898
colonic epithelial cells,0,82.6497
human colorectal cancer,0,82.6497
second primary cancer,1,82.6497
bring,0,82.4567
hold,1,82.4567
illustrate,0,82.4567
initiate,1,82.4567
interacts,0,82.4567
modifies,1,82.4567
as targets for,0,82.2023
but not by,0,82.2023
could be due,0,82.2023
could be related,0,82.2023
could potentially be,0,82.2023
evaluated the impact,0,82.2023
evaluated the relationship,0,82.2023
has been investigated,0,82.2023
has been known,0,82.2023
has been limited,0,82.2023
has been projected,0,82.2023
heightened metabolic demands,0,82.2023
hypothesized that the,0,82.2023
in agreement with,0,82.2023
in support of,0,82.2023
investigated the role,0,82.2023
large prospective studies,0,82.2023
might also be,0,82.2023
not only with,0,82.2023
novel therapeutic strategies,0,82.2023
observed in the,0,82.2023
of care for,0,82.2023
of insulin in,0,82.2023
quantitative real-time pcr,0,82.2023
resulted in a,0,82.2023
should be given,0,82.2023
should be made,0,82.2023
significant public health,0,82.2023
through activation of,0,82.2023
was conducted among,0,82.2023
was diagnosed with,0,82.2023
was found among,0,82.2023
was reported in,0,82.2023
was similar for,0,82.2023
were collected for,0,82.2023
were compared across,0,82.2023
were diagnosed in,0,82.2023
were examined for,0,82.2023
were matched for,0,82.2023
were performed by,0,82.2023
were performed for,0,82.2023
were positively correlated,0,82.2023
were retrieved from,0,82.2023
were stratified into,0,82.2023
serving,1,82.185
encoded,1,81.6777
sensing,0,81.6059
obese premenopausal women,0,81.3197
explains,0,81.2053
live,1,81.2053
benign prostatic hypertrophy,1,81.1909
extension of,1,80.907
advanced,1,80.7489
albeit,0,80.7489
comprises,0,80.7489
distinguish,0,80.7489
exerted,1,80.7489
integrates,0,80.7489
yield,0,80.7489
sat,1,80.6459
remained statistically,0,80.6424
widely accepted,0,80.6424
placebo-controlled,1,80.5195
conferred,0,80.3074
derive,0,80.3074
differentiate,1,80.3074
mitigate,1,80.3074
progress,1,80.3074
triggers,1,80.3074
in patients in,0,80.13
mammary fat pad,1,80.13
unsaturated fatty acids,1,80.13
arises,0,80.0085
model,1,79.5168
raising,0,79.5168
had never smoked,0,79.2905
laparoscopic colorectal resection,0,79.2905
periprostatic adipose tissue,0,79.2905
bypassed,0,79.2665
educated,1,79.1462
methylated,1,79.1462
brain-derived neurotrophic factor,1,79.0538
could be avoided,0,79.0538
high physical activity,0,79.0538
in countries with,0,79.0538
of life among,0,79.0538
was characterized by,0,79.0538
was reported by,0,79.0538
with cancer of,0,79.0538
with individuals with,0,79.0538
cited,0,79.043
ingested,1,79.043
planned,1,79.043
have been suggested as,0,78.716
was an inverse association,0,78.716
returned,0,78.5858
accounting,1,78.1441
adopting,1,78.1441
concerned,0,78.1441
considers,0,78.1441
delineate,0,78.1441
investigates,1,78.1441
mounting,0,78.1441
repeated,1,78.1441
type,1,78.1441
after treatment for,0,78.0713
and so on,0,78.0713
between bmi at,0,78.0713
but not of,0,78.0713
can be made,0,78.0713
from cancer in,0,78.0713
had a history,0,78.0713
has a negative,0,78.0713
of biomarkers of,0,78.0713
of cancer among,0,78.0713
on changes in,0,78.0713
on outcomes in,0,78.0713
should be directed,0,78.0713
should be offered,0,78.0713
was conducted for,0,78.0713
were aware of,0,78.0713
were identified with,0,78.0713
were obese at,0,78.0713
agreed,0,77.8355
funded,1,77.8355
normalized,1,77.8355
sequencing,1,77.8355
per year of,0,77.6838
has been estimated that,0,77.6588
has been reported that,0,77.6588
has been used as,0,77.6588
has been used for,0,77.6588
is inversely related to,0,77.6588
may help to explain,0,77.6588
chemically induced,1,77.5406
care,1,77.3415
acid binding protein,0,77.1675
but also on,0,77.1675
by activation of,0,77.1675
by height in,0,77.1675
can be detected,0,77.1675
could be associated,0,77.1675
could be explained,0,77.1675
examined the relation,0,77.1675
has been attributed,0,77.1675
has been developed,0,77.1675
included in the,0,77.1675
increased the expression,0,77.1675
is a heterogeneous,0,77.1675
is a positive,0,77.1675
is found in,0,77.1675
is rapidly increasing,0,77.1675
is regarded as,0,77.1675
is related with,0,77.1675
is suggested that,0,77.1675
is the fourth,0,77.1675
is used as,0,77.1675
may be affected,0,77.1675
may be relevant,0,77.1675
may prove to,0,77.1675
might lead to,0,77.1675
occurred in the,0,77.1675
of adipokines in,0,77.1675
of exercise in,0,77.1675
other ethnic groups,0,77.1675
should be avoided,0,77.1675
should lead to,0,77.1675
was calculated for,0,77.1675
was collected by,0,77.1675
was inversely correlated,0,77.1675
was measured at,0,77.1675
was stronger among,0,77.1675
were analyzed from,0,77.1675
were analyzed with,0,77.1675
were conducted in,0,77.1675
were consistent with,0,77.1675
were differentially expressed,0,77.1675
were estimated for,0,77.1675
were higher among,0,77.1675
were obtained for,0,77.1675
were significantly decreased,0,77.1675
were significantly reduced,0,77.1675
were studied in,0,77.1675
fractions of,1,77.106
counselling,1,76.8662
exceeded,0,76.8662
outside,1,76.8662
previously demonstrated,0,76.8312
previously shown,0,76.8312
showed increased,0,76.8312
substantially increased,0,76.8312
work in,1,76.8312
preserved,1,76.706
ranked,1,76.706
many high school,0,76.557
comprise,0,76.4082
desired,0,76.4082
employing,1,76.4082
enabled,1,76.4082
extending,1,76.4082
fail,1,76.4082
observe,0,76.4082
participates,0,76.4082
playing,1,76.4082
selecting,0,76.4082
should be screened,0,76.292
coded,0,76.1655
hours per,1,76.1477
conducting,1,75.9662
emphasizing,0,75.9662
favor,1,75.9662
manifested,1,75.9662
raises,0,75.9662
strengthened,0,75.9662
poor physical health,0,75.6179
frequently observed,0,75.2662
binds,1,75.1515
extends,1,75.1515
daily physical activity,0,75.0643
early endometrial cancer,0,75.0643
papillary thyroid carcinoma,1,75.0643
pathologic complete response,0,75.0643
began,0,74.6746
exceed,0,74.6746
restored,0,74.6746
surviving,0,74.512
well differentiated,1,74.45
omental adipose tissue,0,74.425
block,1,74.2157
bound,1,74.2157
estimating,1,74.2157
exceeds,0,74.2157
stratifying,1,74.2157
human endometrial cancer,0,73.9662
of death by,0,73.9662
plus,1,73.9662
sporadic colorectal cancer,0,73.9662
was longer in,0,73.9662
will be used,0,73.9662
with mortality from,0,73.9662
discover,1,73.7734
facing,0,73.7734
helps,0,73.7734
informed,1,73.7734
reversing,0,73.7734
seek,0,73.7734
remained significantly,0,73.6902
lived,0,73.4929
replaced,1,73.4453
coping,1,73.3949
evolutionarily conserved,0,72.9794
exacerbated by,1,72.9794
include increased,0,72.9794
prospectively evaluated,0,72.9794
strongly linked,0,72.9794
after completion of,0,72.9727
can be modified,0,72.9727
chronic pulmonary disease,0,72.9727
independent prognostic factors,0,72.9727
is an endocrine,0,72.9727
is limited by,0,72.9727
remained significantly associated,0,72.9727
showed a trend,0,72.9727
under conditions of,0,72.9727
via inhibition of,0,72.9727
was identified by,0,72.9727
was lower than,0,72.9727
were more than,0,72.9727
with age at,0,72.9727
colorectal cancer-specific mortality,0,72.683
for women at,0,72.683
had a relative risk,0,72.6225
is negatively associated with,0,72.6225
reviewed the medical records,0,72.6225
enables,1,72.4675
intended,1,72.4675
among persons with,0,72.0658
by virtue of,0,72.0658
can progress to,0,72.0658
chronic inflammatory disease,1,72.0658
common chronic diseases,0,72.0658
common endocrine disorder,0,72.0658
examined the impact,0,72.0658
examined the role,0,72.0658
has a significant,0,72.0658
has a strong,0,72.0658
has been documented,0,72.0658
in obesity in,0,72.0658
investigated the associations,0,72.0658
is an attractive,0,72.0658
is believed that,0,72.0658
is composed of,0,72.0658
is focused on,0,72.0658
is needed in,0,72.0658
is recommended in,0,72.0658
is used in,0,72.0658
may be linked,0,72.0658
may have important,0,72.0658
moderate physical activity,0,72.0658
more advanced disease,0,72.0658
of differences in,0,72.0658
of obesity by,0,72.0658
of research on,0,72.0658
on outcomes of,0,72.0658
other potential confounders,0,72.0658
performed a meta-analysis,0,72.0658
plays a crucial,0,72.0658
recent epidemiological studies,0,72.0658
reduced the risk,0,72.0658
showed no association,0,72.0658
that results in,0,72.0658
was attenuated by,0,72.0658
was available for,0,72.0658
was conducted at,0,72.0658
was decreased in,0,72.0658
was determined in,0,72.0658
was divided into,0,72.0658
was not increased,0,72.0658
was positively related,0,72.0658
was significantly decreased,0,72.0658
were also evaluated,0,72.0658
were analysed by,0,72.0658
were available from,0,72.0658
were compared in,0,72.0658
were conducted with,0,72.0658
were confirmed by,0,72.0658
were drawn from,0,72.0658
were elevated in,0,72.0658
were followed from,0,72.0658
were matched with,0,72.0658
were newly diagnosed,0,72.0658
were performed with,0,72.0658
were recruited between,0,72.0658
with increases in,0,72.0658
with patients without,0,72.0658
adopt,1,72.0076
answered,0,72.0076
holds,0,72.0076
learned,1,72.0076
lowers,1,72.0076
planning,1,72.0076
separated,1,72.0076
wound,1,71.7523
advance,1,71.5651
combine,1,71.5651
confirming,1,71.5651
covering,1,71.5651
determines,0,71.5651
exacerbate,1,71.5651
exceeding,0,71.5651
giving,0,71.5651
point,1,71.5651
protecting,0,71.5651
reports,1,71.5651
contribute to the pathogenesis,0,71.56
has been considered as,0,71.56
is significantly associated with,0,71.56
is well known that,0,71.56
may prove to be,0,71.56
was statistically significantly associated,0,71.56
replicated,1,71.227
occupational physical activity,0,71.2102
total laparoscopic hysterectomy,1,71.2102
fit,1,70.7251
waiting,0,70.4591
advocated,0,70.2445
assembled,0,70.2445
overlap,1,70.2445
stop,1,70.2445
triggering,0,70.2445
at onset of,0,69.9343
of carcinoma of,0,69.9343
usual dietary intake,0,69.9343
were less than,0,69.9343
face,1,69.7836
faced,0,69.7836
grown,0,69.7836
proposes,0,69.7836
remove,1,69.7836
scheduled,1,69.7836
laparoscopic colorectal cancer,0,69.5973
non communicable diseases,0,69.5973
associate,1,69.3407
belonging,0,69.3407
deserve,0,69.3407
deserves,0,69.3407
disrupt,1,69.3407
facilitated,0,69.3407
interrelated,0,69.3407
mimic,1,69.3407
prompted,1,69.3407
setting,1,69.3407
sustain,1,69.3407
underscore,0,69.3407
update,1,69.3407
confirmation of,1,69.0845
newly identified,0,69.0845
prescription of,1,69.0845
recently identified,0,69.0845
for mortality in,0,68.809
other metabolic disorders,1,68.809
overweight obese patients,0,68.809
attained,0,68.4875
regain,1,68.4875
infected,1,68.4354
averaged,0,68.0049
correcting,0,68.0049
encouraging,0,68.0049
ensuring,0,68.0049
facilitating,0,68.0049
gave,0,68.0049
by adjustment for,0,67.8023
by inhibition of,0,67.8023
during treatment with,0,67.8023
for changes in,0,67.8023
high fat intake,0,67.8023
is a prognostic,0,67.8023
is derived from,1,67.8023
more advanced stage,0,67.8023
must be considered,0,67.8023
of patients at,0,67.8023
on patients with,0,67.8023
peripheral vascular disease,1,67.8023
was significant in,0,67.8023
were inversely correlated,0,67.8023
were not observed,0,67.8023
adverse pathologic features,0,67.6591
positive axillary nodes,0,67.6591
begun,0,67.5428
contrasting,1,67.5428
exhibits,1,67.5428
genetically engineered,1,67.4678
progressed,1,67.2761
accumulate,0,67.0996
came,1,67.0996
integrated,0,67.0996
as much as,0,66.8917
assessed the effects,0,66.8917
assessed the relationship,0,66.8917
but also by,0,66.8917
by analysis of,0,66.8917
can be found,0,66.8917
can be treated,0,66.8917
could be mediated,0,66.8917
despite advances in,0,66.8917
for bmi at,0,66.8917
for levels of,0,66.8917
for risk of,0,66.8917
had no impact,0,66.8917
has a higher,0,66.8917
has an important,0,66.8917
has increased over,0,66.8917
in expression of,0,66.8917
in mortality from,0,66.8917
is a multifunctional,0,66.8917
is increasingly being,0,66.8917
is mediated through,0,66.8917
is viewed as,0,66.8917
may be modified,0,66.8917
nonsteroidal anti-inflammatory drug,1,66.8917
of data on,0,66.8917
of fat in,0,66.8917
of leptin with,0,66.8917
of participants in,0,66.8917
of use of,0,66.8917
ongoing clinical trials,0,66.8917
related metabolic abnormalities,0,66.8917
represents a significant,0,66.8917
resulted in the,0,66.8917
showed that obese,0,66.8917
through changes in,0,66.8917
was an association,0,66.8917
was expressed in,0,66.8917
was extracted from,0,66.8917
was greater for,0,66.8917
was negatively correlated,0,66.8917
was noted between,0,66.8917
was supported by,0,66.8917
were also assessed,0,66.8917
were calculated from,0,66.8917
were detected by,0,66.8917
were followed until,0,66.8917
were genotyped in,0,66.8917
were identified among,0,66.8917
were included if,0,66.8917
